Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Restore IP Addresses,100,0.531584313,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Construct String With Repeat Limit,100,0.708776136,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
EASY,Find the Town Judge,97.6,0.50005792,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
HARD,Reverse Nodes in k-Group,94.9,0.630437091,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Reverse Linked List II,94.9,0.495917828,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Reorder List,88.6,0.625048429,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Contains Duplicate II,80.2,0.490500651,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Inorder Successor in BST II,80.2,0.610017205,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
MEDIUM,Rotated Digits,80.2,0.564277195,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
EASY,Remove Linked List Elements,74.5,0.519212931,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
MEDIUM,Inorder Successor in BST,74.5,0.506678212,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,74.5,0.428372468,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,LRU Cache,74.5,0.452147872,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Maximum Depth of Binary Tree,67.3,0.771381429,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Binary Tree Maximum Path Sum,67.3,0.412243359,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Moving Average from Data Stream,67.3,0.799379128,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
EASY,Merge Two Sorted Lists,67.3,0.66840921,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Missing Element in Sorted Array,67.3,0.587648801,https://leetcode.com/problems/missing-element-in-sorted-array,"Array, Binary Search"
EASY,Maximum Units on a Truck,67.3,0.742503072,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
MEDIUM,Course Schedule II,67.3,0.534235281,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Missing Number,67.3,0.700652383,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Search a 2D Matrix,57.2,0.522897523,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Path Sum II,57.2,0.604980543,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
EASY,Kth Missing Positive Number,57.2,0.622837387,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
MEDIUM,Integer to Roman,57.2,0.686192766,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Top K Frequent Elements,57.2,0.645659932,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Longest Common Subsequence,57.2,0.582493708,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Remove All Occurrences of a Substring,57.2,0.780696864,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Merge In Between Linked Lists,57.2,0.823033848,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
EASY,Contains Duplicate,57.2,0.63236381,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Validate Binary Search Tree,57.2,0.343804498,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Palindromic Substrings,57.2,0.716783304,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find the Winner of the Circular Game,57.2,0.82066538,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
EASY,Kth Largest Element in a Stream,57.2,0.598531069,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
MEDIUM,Flatten a Multilevel Doubly Linked List,57.2,0.613121952,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
MEDIUM,Implement Trie (Prefix Tree),57.2,0.679349409,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Best Time to Buy and Sell Stock,57.2,0.552596398,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Word Search,57.2,0.45267013,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
